,id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state,zip
997,75b38064-9d87,WP0AC2A77FL070234,99777.0,31107.0,P51370,2015,Porsche,Panamera,Turbo S,Hatchback,Car,4WD,Manual,Premium Unleaded,4.8,V,hendrick mini,7036 E Independence Blvd,Charlotte,NC,28227.0
998,178b4294-6df9,WBALX3C54CC528772,24995.0,67370.0,6101666,2012,BMW,6 Series Coupe,650i,Coupe,Car,RWD,Automatic,Premium Unleaded,4.4,V,driveline llc,9943 Beach Boulevard 2,Jacksonville,FL,32246.0
999,ca98bb01-46e3,WBAYA8C57DC996825,,55664.0,996825,2013,BMW,7 Series,750i,Sedan,Car,RWD,Automatic,Premium Unleaded,4.4,V,ecarlink,4740 Frank Luke Street,Addison,TX,75001.0
1000,1e79b8fb-c9b0,2G4WS52J231211907,6999.0,82000.0,,2003,Buick,Century,Custom,Sedan,Car,FWD,Automatic,Unleaded,3.1,V,best buy motors llc,677 South Hamilton Road #3104,Columbus,OH,43213.0
1001,005f0c00-85c6,JTHFN45Y279011698,21785.0,76420.0,10650,2007,Lexus,SC,430,Convertible,Car,RWD,Automatic,Premium Unleaded,4.3,V,direct auto team,1095 Turnpike St,Canton,MA,2021.0
1002,855da8bf-4745,1G2NF12F42C100944,,5.0,Y210646B,2002,Pontiac,Grand Am,SE1,Coupe,Car,FWD,Manual,Unleaded,2.2,I,bud clary auto group,1062 Commerce Ave,Longview,WA,98632.0
1003,486a2486-0451,3C6UR5GJ9LG117859,64990.0,40664.0,PF16489,2020,RAM,Ram 2500 Pickup,Laramie Longhorn,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,forest lake chevrolet,533 19th St Sw,Forest Lake,MN,55025.0
1004,cfdec15e-b8fa,3C6UR5DJ1KG689186,45988.0,42109.0,ZU0907,2019,RAM,Ram 2500 Pickup,Big Horn,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,aubrey alexander toyota selinsgrove,1324 North Susquehanna Trail,Selinsgrove,PA,17870.0
1005,e8db6d10-feaf,WAUDV74FX7N033222,9995.0,88008.0,L765,2007,Audi,A6,QUATTRO,Sedan,Car,4WD,Automatic,Premium Unleaded,4.2,V,european autohaus,1890 112th Ave,Holland,MI,49424.0
1006,b5a2b7ec-a694,1GCWGFBA2D1127377,11500.0,228699.0,127377,2013,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,E85 / Unleaded,4.8,V,value cargo vans,3006 U.S. 31W,White House,TN,37188.0
1007,f74edf99-3864,MAJ3P1VE2JC206283,19725.0,52605.0,L18770A,2018,Ford,Ecosport,Titanium,Crossover,Truck,FWD,Automatic,Unleaded,1.0,I,hendrick toyota concord,7670 Bruton Smith Blvd,Concord,NC,28027.0
1008,89e2e210-228c,MAJ3P1TE0JC177949,16800.0,21365.0,PT761,2018,Ford,Ecosport,SE,Crossover,Truck,FWD,Automatic,Unleaded,1.0,I,moser motor sales inc,218 W Main St,Berne,IN,46711.0
1009,d4fccd1a-090f,2G1WC583981247183,5499.0,164320.0,20C8244B,2008,Chevrolet,Impala,LT,Sedan,Car,FWD,Automatic,E85 / Unleaded,3.9,V,stykemain chevrolet,1255 North Williams Street,Paulding,OH,45879.0
1010,552d9633-c8ec,SAJWA07C391R02920,,74280.0,R02920,2009,Jaguar,XF,Supercharged,Sedan,Car,RWD,Automatic,Premium Unleaded,4.2,V,socal auto auctions,1304 Mildred Street B,Ontario,CA,91761.0
1011,201142bf-46f4,WDDJK7DA9JF052113,84500.0,21886.0,MH31699A,2018,Mercedes-Benz,SL Roadster,SL550,Roadster,Car,RWD,Automatic,Premium Unleaded,4.7,V,hendrick subaru,2929 John Hawkins Parkway,Hoover,AL,35244.0
1012,08a7248a-d349,1GCWGAFP5L1141659,35899.0,43968.0,4170029,2020,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,Unleaded,4.3,V,priority lexus virginia beach,3909 Virginia Beach Blvd,Virginia Beach,VA,23452.0
1013,0707ce6a-07e5,1FMFU15518LA42790,8153.0,172114.0,8LA42790,2008,Ford,Expedition,XLT,SUV,Truck,RWD,Automatic,Unleaded,5.4,V,genesis of southwest houston,10505 Southwest Freeway,Houston,TX,77074.0
1014,c103f825-3bb1,1FBSS3BL8DDA56265,22000.0,60793.0,77627,2013,Ford,E-Series Econoline Wagon,XL,Passenger Van,Truck,RWD,Automatic,E85 / Unleaded,5.4,V,uebelhor & sons commercial vehicles,868 Wernsing Road,Jasper,IN,47546.0
1015,7d8860cd-b577,WP0AE2A7XLL130545,114999.0,6253.0,R1716,2020,Porsche,Panamera,4 E-Hybrid,Hatchback,Car,4WD,Manual,Electric / Premium Unleaded,2.9,V,piazza acura of ardmore,150 West Lancaster Ave,Ardmore,PA,19003.0
1016,51f0e838-8c67,1FDXE4FS8HDC07073,,4982.0,1J427A-2,2017,Ford,E-Series Cutaway,Base,Cutaway,Truck,RWD,Automatic,Unleaded,6.8,V,courtesy lincoln,401 Pleasant Valley Blvd.,Altoona,PA,16602.0
1017,dbc7180f-1cad,WP1AC29P54LA91843,9995.0,161515.0,A91843,2004,Porsche,Cayenne,Turbo,SUV,Truck,4WD,Automatic,Premium Unleaded,4.5,V,enthusiast autohaus,906 S Hudson St,Sheridan,IN,46069.0
1018,f8b0c8ff-dffd,2G1WC5EM5B1191862,8950.0,87774.0,AM21-716C2,2011,Chevrolet,Impala,LTZ,Sedan,Car,FWD,Automatic,E85 / Unleaded,3.9,V,briggs nissan,2500 Stagg Hill Rd.,Manhattan,KS,66502.0
1019,32414fbc-03e4,3C6UR5FJXHG580294,50915.0,57095.0,C2137A,2017,RAM,Ram 2500 Pickup,Laramie,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,key nissan of lebanon,51 Evans Drive,Lebanon,NH,3766.0
1020,de06cd8a-8e1e,1FMFU20558LA69925,,175141.0,D34776A,2008,Ford,Expedition,Limited,SUV,Truck,4WD,Automatic,Unleaded,5.4,V,i-5 auto credit,Auto Mall 2015 Cooper Point Road Southwest,Olympia,WA,98502.0
